search_term,extractor_key,channel_id,channel,uploader_url,id,url,title,description,duration,view_count
"""sergio massa""",YoutubeSearchURL,UCFgk2Q2mVO1BklRQhSv6p0w,C5N,https://www.youtube.com/@c5n,ELI3qGzOTOI,https://www.youtube.com/watch?v=ELI3qGzOTOI,"Los ANUNCIOS de SERGIO MASSA: CONOCÉ las MEDIDAS, una por una",,1205.0,49292
"""sergio massa""",YoutubeSearchURL,UCxDteokWBemJvLI_I0VUGdA,Radio Con Vos 89.9,https://www.youtube.com/@RadioConVos89.9,CDO8Fk7mrV0,https://www.youtube.com/watch?v=CDO8Fk7mrV0,"Sergio Massa: ""Hoy soy más ministro que candidato""",,1388.0,10338
"""sergio massa""",YoutubeSearchURL,UCFgk2Q2mVO1BklRQhSv6p0w,C5N,https://www.youtube.com/@c5n,4K5UUfrOynU,https://www.youtube.com/watch?v=4K5UUfrOynU,SERGIO MASSA expuso en el CONSEJO de las AMÉRICAS,,1641.0,24711
"""sergio massa""",YoutubeSearchURL,UCFgk2Q2mVO1BklRQhSv6p0w,C5N,https://www.youtube.com/@c5n,WyBhiYbSBEs,https://www.youtube.com/watch?v=WyBhiYbSBEs,SERGIO MASSA en DURO DE DOMAR | ENTREVISTA COMPLETA,,3024.0,48985
"""sergio massa""",YoutubeSearchURL,UCqmZBc7T8J5TFuRT5uf-j_g,Televisión Pública Noticias,https://www.youtube.com/@TelevisionPublicaNoticias,a0_CFmB57DI,https://www.youtube.com/watch?v=a0_CFmB57DI,Sergio Massa expuso en el Consejo de las Américas,,1682.0,12464
"""sergio massa""",YoutubeSearchURL,UCba3hpU7EFBSk817y9qZkiA,LA NACION,https://www.youtube.com/@lanacion,AtcDubT3HD4,https://www.youtube.com/watch?v=AtcDubT3HD4,"Sergio Massa:  ""No necesito un cargo para hacer politica""",,1650.0,6830
"""sergio massa""",YoutubeSearchURL,UCI6m1EyjgTYMJke5UMvD9ZA,Ministerio de Economía,https://www.youtube.com/@MinisteriodeEconomiaAR,6FRjcnMqp5Q,https://www.youtube.com/watch?v=6FRjcnMqp5Q,Conferencia de prensa del ministro Sergio Massa,,1406.0,14111
"""sergio massa""",YoutubeSearchURL,UCFgk2Q2mVO1BklRQhSv6p0w,C5N,https://www.youtube.com/@c5n,WAa-PpXCwms,https://www.youtube.com/watch?v=WAa-PpXCwms,"PPT: SERGIO MASSA, mano a mano con DADY BRIEVA - ENTREVISTA COMPLETA",,2602.0,93934
"""sergio massa""",YoutubeSearchURL,UCT7KFGv6s2a-rh2Jq8ZdM1g,Crónica TV,https://www.youtube.com/@cronicatv,iyrW0-4dIO4,https://www.youtube.com/watch?v=iyrW0-4dIO4,"Sergio Massa en Crónica HD:  ""Yo nunca suelto el timón en el medio de la tormenta""",,4885.0,38183
"""sergio massa""",YoutubeSearchURL,UCR9120YBAqMfntqgRTKmkjQ,A24com,https://www.youtube.com/@A24com,X3yoY0EF4vc,https://www.youtube.com/watch?v=X3yoY0EF4vc,SERGIO MASSA MANO A MANO CON MARIANA CONTARTESSI | Entrevista completa #A24 (25/07/2023),,1596.0,2401
